FMA_N,Focos_N,FMA_P,Focos_P,FMA_M,Focos_M,FMA_A,Focos_A,FMA_MA,Focos_MA
0,38,0,36,2,70,2,48,3,18
0,29,0,29,1,60,1,66,8,22
0,36,0,43,3,75,2,65,0,5
0,10,0,17,0,39,5,69,7,72
0,9,0,12,0,33,1,63,14,116
0,10,1,12,0,29,3,78,12,122
0,2,0,3,0,13,4,63,36,189
0,4,0,7,0,8,3,20,48,228
0,9,0,10,1,15,5,40,60,185
0,27,0,30,1,70,7,80,13,63
0,33,0,40,1,60,4,78,0,28
0,23,0,32,0,73,1,65,0,12
