ANGS_NR,FOCOS_NR,ANGS_R,FOCOS_R
40,0,53,0
53,0,32,2
63,0,29,0
66,1,24,0
72,2,21,0
57,1,30,2
47,3,46,8
56,3,37,5
39,3,51,16
51,2,42,8
55,0,34,4
48,0,45,2
