FMA_N,Focos_N,FMA_P,Focos_P,FMA_M,Focos_M,FMA_A,Focos_A,FMA_MA,Focos_MA
0,14,0,20,0,40,0,18,0,1
0,23,0,15,0,35,2,12,0,0
0,16,0,25,0,33,0,18,0,0
1,5,0,5,0,25,0,38,0,17
0,6,0,10,1,15,0,30,1,32
0,1,0,2,0,2,0,15,3,66
0,1,0,1,0,3,0,12,11,76
0,4,0,4,0,6,2,15,5,63
0,2,0,4,1,12,4,19,14,53
0,8,0,15,1,18,2,23,7,28
0,11,0,12,1,41,3,23,0,2
0,14,0,18,1,35,1,23,0,2

