Tele_N,Focos_N,Tele_S,Focos_S,Tele_M,Focos_M,Tele_H,Focos_H
62,0,17,0,7,0,7,0
64,0,12,0,4,0,4,2
62,0,12,0,6,0,12,0
30,1,13,0,11,0,36,0
28,0,11,1,9,0,45,1
16,0,6,0,6,0,58,3
8,0,4,0,4,0,77,11
32,2,9,1,9,0,42,4
26,1,6,1,6,1,52,16
41,1,13,1,7,1,31,7
64,0,12,3,5,1,7,0
63,0,15,1,5,0,10,1
