Tele_N,Focos_N,Tele_S,Focos_S,Tele_M,Focos_M,Tele_H,Focos_H
129,1,41,1,13,1,28,4
118,3,36,0,16,0,40,8
129,0,33,3,24,0,37,2
89,3,23,1,18,2,91,7
71,0,27,0,23,2,111,13
73,4,21,0,20,2,134,10
54,2,16,2,12,0,190,36
51,0,18,3,16,5,185,43
59,2,22,5,15,4,163,55
123,2,40,3,28,1,79,15
129,1,43,0,34,2,33,2
141,0,29,0,14,0,27,1
