Tele_N,Focos_N,Tele_S,Focos_S,Tele_M,Focos_M,Tele_H,Focos_H
198,1,32,0,10,0,23,0
128,0,23,0,16,0,51,0
162,0,28,0,19,0,38,1
99,0,34,1,29,0,107,0
76,1,32,2,28,1,143,2
76,0,25,0,26,2,139,6
46,1,14,0,14,2,205,13
62,2,20,3,13,0,184,38
69,1,21,2,17,6,163,47
126,3,40,4,22,2,82,12
148,0,40,1,25,2,27,0
167,0,40,1,23,0,37,1
