FMA_N,Focos_N,FMA_P,Focos_P,FMA_M,Focos_M,FMA_A,Focos_A,FMA_MA,Focos_MA
0,66,0,77,0,82,0,50,0,4
0,47,0,69,0,89,0,30,0,20
0,58,0,88,0,112,0,38,0,0
0,35,0,47,0,77,0,100,0,41
0,20,0,31,2,65,1,115,0,79
0,17,0,20,0,46,0,114,1,103
0,10,0,15,1,41,2,64,3,203
0,14,0,13,0,17,2,55,17,229
0,24,0,30,3,38,8,77,30,139
0,45,0,64,2,97,3,86,5,26
0,59,0,67,1,112,0,62,0,0
0,60,0,94,0,103,0,32,0,0
