ANGS_NR,FOCOS_NR,ANGS_R,FOCOS_R
237,1,88,0
207,1,96,0
297,0,44,1
292,1,38,0
324,6,17,0
291,6,35,2
264,10,77,6
199,13,141,30
168,12,161,44
208,6,125,15
206,1,94,2
211,1,115,1
