ANGS_NR,FOCOS_NR,ANGS_R,FOCOS_R
235,0,19,0
235,0,9,0
266,0,5,0
265,0,4,0
274,3,4,0
258,0,10,1
263,6,15,0
208,11,66,8
175,13,95,28
224,4,52,6
248,1,17,0
255,0,10,0
